Time_s,Target_Power_Pct,RPM,RPS,Speed_mps
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0
0.71,0.0,0.0,0.0,0.0
0.81,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0
1.01,0.0,0.0,0.0,0.0
1.11,0.0,0.0,0.0,0.0
1.21,0.0,0.0,0.0,0.0
1.31,0.0,0.0,0.0,0.0
1.41,0.0,0.0,0.0,0.0
1.51,0.0,0.0,0.0,0.0
1.61,0.0,0.0,0.0,0.0
1.71,0.0,0.0,0.0,0.0
1.81,0.0,0.0,0.0,0.0
1.91,0.0,0.0,0.0,0.0
2.01,0.0,0.0,0.0,0.0
2.11,0.0,0.0,0.0,0.0
2.21,0.0,0.0,0.0,0.0
2.31,0.0,0.0,0.0,0.0
2.41,0.0,0.0,0.0,0.0
2.51,0.0,0.0,0.0,0.0
2.62,0.0,0.0,0.0,0.0
2.72,0.0,0.0,0.0,0.0
2.82,0.0,0.0,0.0,0.0
2.92,0.0,0.0,0.0,0.0
3.02,15.0,0.0,0.0,0.0
3.12,15.0,0.0,0.0,0.0
3.22,15.0,0.0,0.0,0.0
3.32,15.0,0.0,0.0,0.0
3.42,15.0,0.0,0.0,0.0
3.52,15.0,0.0,0.0,0.0
3.62,15.0,0.0,0.0,0.0
3.72,15.0,0.0,0.0,0.0
3.82,15.0,0.0,0.0,0.0
3.92,15.0,0.0,0.0,0.0
4.02,15.0,0.0,0.0,0.0
4.12,15.0,0.0,0.0,0.0
4.22,15.0,0.0,0.0,0.0
4.32,15.0,0.0,0.0,0.0
4.42,15.0,0.0,0.0,0.0
4.52,15.0,0.0,0.0,0.0
4.62,15.0,0.0,0.0,0.0
4.73,15.0,0.0,0.0,0.0
4.83,15.0,0.0,0.0,0.0
4.93,15.0,0.0,0.0,0.0
5.03,15.0,0.0,0.0,0.0
5.13,15.0,0.0,0.0,0.0
5.23,15.0,54.92,0.92,0.96
5.33,15.0,54.92,0.92,0.96
5.43,15.0,54.92,0.92,0.96
5.53,15.0,54.92,0.92,0.96
5.63,15.0,54.92,0.92,0.96
5.73,15.0,54.92,0.92,0.96
5.83,15.0,54.92,0.92,0.96
5.93,15.0,54.92,0.92,0.96
6.03,15.0,54.92,0.92,0.96
6.13,15.0,54.92,0.92,0.96
6.23,15.0,54.92,0.92,0.96
6.33,15.0,54.29,0.9,0.95
6.43,15.0,54.29,0.9,0.95
6.53,15.0,54.29,0.9,0.95
6.63,15.0,54.29,0.9,0.95
6.74,15.0,54.29,0.9,0.95
6.84,15.0,54.29,0.9,0.95
6.94,15.0,54.29,0.9,0.95
7.04,15.0,54.29,0.9,0.95
7.14,15.0,54.29,0.9,0.95
7.24,15.0,54.29,0.9,0.95
7.34,15.0,54.29,0.9,0.95
7.44,15.0,54.29,0.9,0.95
7.54,15.0,53.54,0.89,0.94
7.64,15.0,53.54,0.89,0.94
7.74,15.0,53.54,0.89,0.94
7.84,15.0,53.54,0.89,0.94
7.94,15.0,53.54,0.89,0.94
8.04,15.0,53.54,0.89,0.94
8.14,15.0,53.54,0.89,0.94
8.24,15.0,53.54,0.89,0.94
8.34,15.0,53.54,0.89,0.94
8.44,15.0,53.54,0.89,0.94
8.54,15.0,55.9,0.93,0.98
8.64,15.0,55.9,0.93,0.98
8.75,15.0,55.9,0.93,0.98
8.85,15.0,55.9,0.93,0.98
8.95,15.0,55.9,0.93,0.98
9.05,15.0,55.9,0.93,0.98
9.15,15.0,55.9,0.93,0.98
9.25,15.0,55.9,0.93,0.98
9.35,15.0,55.9,0.93,0.98
9.45,15.0,55.9,0.93,0.98
9.55,15.0,55.9,0.93,0.98
9.65,15.0,54.55,0.91,0.96
9.75,15.0,54.55,0.91,0.96
9.85,15.0,54.55,0.91,0.96
9.95,15.0,54.55,0.91,0.96
10.05,15.0,54.55,0.91,0.96
10.15,15.0,54.55,0.91,0.96
10.25,15.0,54.55,0.91,0.96
10.35,15.0,54.55,0.91,0.96
10.45,15.0,54.55,0.91,0.96
10.55,15.0,54.55,0.91,0.96
10.65,15.0,54.55,0.91,0.96
10.75,15.0,53.68,0.89,0.94
10.86,15.0,53.68,0.89,0.94
10.96,15.0,53.68,0.89,0.94
11.06,15.0,53.68,0.89,0.94
11.16,15.0,53.68,0.89,0.94
11.26,15.0,53.68,0.89,0.94
11.36,15.0,53.68,0.89,0.94
11.46,15.0,53.68,0.89,0.94
11.56,15.0,53.68,0.89,0.94
11.66,15.0,53.68,0.89,0.94
11.76,15.0,53.68,0.89,0.94
11.86,15.0,53.51,0.89,0.94
11.96,15.0,53.51,0.89,0.94
12.06,15.0,53.51,0.89,0.94
12.16,15.0,53.51,0.89,0.94
12.26,15.0,53.51,0.89,0.94
12.36,15.0,53.51,0.89,0.94
12.46,15.0,53.51,0.89,0.94
12.56,15.0,53.51,0.89,0.94
12.66,15.0,53.51,0.89,0.94
